,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
888,888,JohnKasich,3/30/2016,361,774,,,#Decision2016,"""715327125520326657""",https://twitter.com/JohnKasich/status/715327125520326657,"""Need another reason to vote for John Kasich? He's the only Republican who can win in November. #Decision2016 pic.twitter.com/ED8b4OMNrB""        ",0.4,263717
889,889,JohnKasich,3/30/2016,34,126,,,#Decision2016,"""715323578007334914""",https://twitter.com/JohnKasich/status/715323578007334914,"""Wages in Ohio are growing faster than the national average. How can we raise wages nationwide? http:// JohnKasich.com/Results #Decision2016""        ",-0.15,263717
890,890,JohnKasich,3/30/2016,44,109,,,,"""715323215288082433""",https://twitter.com/JohnKasich/status/715323215288082433,"""Gov. Kasich's Task Force on Community-Police Relations is making strides in healing divisions & mistrust in Ohio: http://www. cleveland.com/metro/index.ss f/2015/05/gov_john_kasich_calls_for_swif.html ""        ",0,263717
891,891,JohnKasich,3/30/2016,45,139,,,#Decision2016,"""715321161178083328""",https://twitter.com/JohnKasich/status/715321161178083328,"""Time to get tough on North Korea & find solutions. #Decision2016 pic.twitter.com/FtiNmwS81i""        ",-0.388888889,263717
892,892,JohnKasich,3/30/2016,43,131,,,#Decision2016,"""715320588823367680""",https://twitter.com/JohnKasich/status/715320588823367680,"""Gov. Kasich was one of the first to call for a coalition to defeat ISIS: http://www. cnn.com/2015/02/20/pol itics/john-kasich-isis-boots/index.html  #Decision2016 pic.twitter.com/MAbeEI7spd""        ",0.25,263717
893,893,JohnKasich,3/30/2016,47,152,,,#Decision2016,"""715319244532137984""",https://twitter.com/JohnKasich/status/715319244532137984,"""Looking for a leader who can get things done? John Kasich delivers. #Decision2016 pic.twitter.com/676SjCoqtE""        ",0,263717
894,894,JohnKasich,3/30/2016,67,298,,,#Decision2016,"""715317647114641409""",https://twitter.com/JohnKasich/status/715317647114641409,"""John Kasich has what it takes to step into crisis and lead from Day One. #Decision2016 pic.twitter.com/yFWkujwMMV""        ",0,263717
895,895,JohnKasich,3/30/2016,83,210,,,#GOPTownHall,"""715315796323471360""",https://twitter.com/JohnKasich/status/715315796323471360,"""What can Gov. Kasich do as president? Just take a look at what he's done as governor of Ohio. #GOPTownHall pic.twitter.com/2SpKKIgUUz""        ",0,263717
896,896,JohnKasich,3/30/2016,30,143,,,,,,"""We have our challenges but they can be overcome. http:// JohnKasich.com/ResultsNow #GOPTownHall"";;;#GOPTownHall;""715314712393752576"";https://twitter.com/JohnKasich/status/715314712393752576        ",0,263717
897,897,JohnKasich,3/30/2016,62,217,,,,,,"""Jobs jobs  jobs. In Ohio  Gov. Kasich has helped create over 400k of them. #GOPTownHall pic.twitter.com/fKM9vvVtZ0"";;;#GOPTownHall;""715314085156536322"";https://twitter.com/JohnKasich/status/715314085156536322      ",0,263717
898,898,JohnKasich,3/30/2016,14,70,,@MSNBC,,"""715313617386778624""",https://twitter.com/JohnKasich/status/715313617386778624,"""Tune in NOW to see Gov. Kasich on @MSNBC . https:// twitter.com/MSNBC/status/7 15312721592524801 ""        ",0,263717
899,899,JohnKasich,3/30/2016,356,778,,,,"""715277680153870339""",https://twitter.com/JohnKasich/status/715277680153870339,"""GALLUP: ""Kasich now has the most positive net favorable rating of any of these five candidates."" pic.twitter.com/hmEJZRrg7O""        ",0.242424242,263717
900,900,JohnKasich,3/30/2016,51,175,,,,,,"""""I'd be for the most right viable candidate who could win.""Ã¹ Ã± William F. Buckley https://www. johnkasich.com/blog-posts/why -only-john-kasich-can-win-in-november/ "";;;;""715246697824305157"";https://twitter.com/JohnKasich/status/715246697824305157        ",0.392857143,263717
901,901,JohnKasich,3/30/2016,234,494,,,,,,"""While others talk it's John Kasich with the vision and experience to shake up Washington and move America ahead. https:// amp.twimg.com/v/67396d4c-a9d 4-45e3-80ab-cb3b968ee695 "";;;;""715239309767352320"";https://twitter.com/JohnKasich/status/715239309767352320        ",0,263717
