,Unnamed: 0,id,date,text,favorites,retweets,reply_count,quote_count,sentiment_polarity,follower_count
493,493,6.96e+17,2/6/2016,"b'Mom couldn\xe2\x80\x99t make it out to knock doors today, but that didn\xe2\x80\x99t stop her from talking to New Hampshire voters\nhttps://t.co/4KWUnMgNsx'",188,71,,,0.13636363636363635,447351
494,494,6.96e+17,2/6/2016,b'A consistent conservative record of accomplishments vs. \xe2\x80\xa6nothing? https://t.co/KjyKXLP2q4',474,281,,,0.25,447351
495,495,6.96e+17,2/6/2016,b'This Kennebunkport crew geared up to knock on some Portsmouth doors today https://t.co/WSblvI0zQE',139,40,,,0.0,447351
496,496,6.96e+17,2/6/2016,b'3 more days. Join the team: https://t.co/Yl0WLTUGSp https://t.co/6dNYAzoL07',108,31,,,0.5,447351
497,497,6.96e+17,2/6/2016,"b'Thank you, Bedford. \n\nJoin me tomorrow in Salem &amp; Nashua: https://t.co/gnYEYWaK02 https://t.co/WBiMYE6XmN'",149,76,,,0.0,447351
498,498,6.96e+17,2/6/2016,"b'I\xe2\x80\x99m sorry you weren\xe2\x80\x99t able to get into today\xe2\x80\x99s town hall, but I hope your mom likes the surprise https://t.co/LmgfLLxF5k'",143,43,,,0.0,447351
499,499,6.96e+17,2/6/2016,"b'Over capacity for our Bedford town hall. For those who couldn\xe2\x80\x99t make it inside, I\xe2\x80\x99m glad we got to meet beforehand! https://t.co/CImP4HY7nH'",218,88,,,0.5,447351
500,500,6.96e+17,2/6/2016,b'NEW VIDEO: Fired up about the next few days in the Granite State.\nhttps://t.co/8aCd1TnYqG',128,65,,,-0.1,447351
501,501,6.96e+17,2/6/2016,b'Boys on the bus https://t.co/MpeUAyADGT',293,73,,,0.0,447351
502,502,6.96e+17,2/6/2016,"b'If you can\xe2\x80\x99t list one accomplishment by @MarcoRubio, how do you know he has the leadership skills to be president?\nhttps://t.co/izXfdUN2vG'",285,153,,,0.0,447351
503,503,6.96e+17,2/5/2016,b'Get your Jeb bumper sticker here \xe2\x86\x92 https://t.co/ji3A86MXq6 https://t.co/e1MUsNZUj6',95,33,,,0.0,446320
504,504,6.96e+17,2/5/2016,"b""RT @AdamSextonWMUR: A mother's love: 90 year old Barbara Bush forging ahead through #FITN snow for @JebBush #WMUR https://t.co/e6znu6c25t""",0,237,,,0.3,446320
505,505,6.96e+17,2/5/2016,"b""Granite Staters vote in 4 days &amp; this New Hampshire snowstorm won't stop our volunteers https://t.co/YYLxr5dcO0""",205,57,,,0.13636363636363635,446320
506,506,6.96e+17,2/5/2016,b'These two volunteers from the Sunshine State are bundled up &amp; ready to knock on doors today in New Hampshire. https://t.co/BTo4m0342G',217,48,,,0.16818181818181818,446320
507,507,6.96e+17,2/5/2016,b'NEW AD: My conservative record of accomplishments vs. @MarcoRubio\xe2\x80\x99s record of doing nothing in the Senate.\nhttps://t.co/vKbtrVGlmF',266,183,,,0.0,446320
508,508,6.96e+17,2/5/2016,"b'.@realDonaldTrump My 90 year old mother made it out to campaign. She met Destiny, age 5. https://t.co/Xue8HwpTS3'",949,427,,,0.1,446320
509,509,6.96e+17,2/5/2016,b'Grateful Mom could join me on this journey.\nhttps://t.co/ZyXD4rXkCX',283,103,,,0.0,446320
510,510,6.96e+17,2/5/2016,b'Look what I caught!\n\nProud to land these four legendary conservationists. Welcome to the team: https://t.co/k5WmWBAAW8',119,42,,,0.9,446320
511,511,6.96e+17,2/5/2016,"b'We need a president whose ambition is to serve others, not to serve themselves.\nhttps://t.co/wrx6LVP2Vx'",192,75,,,0.0,446320
512,512,6.96e+17,2/5/2016,b'Mom\xe2\x80\x99s prediction on who\xe2\x80\x99s going to win #FITN:\nhttps://t.co/6c8fOAHHbN',199,55,,,0.8,446320
513,513,6.96e+17,2/5/2016,"b'RT @JamesShrum: ""You think he\'s going to win?"" \nBarbara Bush-""Darn right!"" \n#AllinforJeb @JebBush'",0,38,,,0.5428571428571429,446320
514,514,6.96e+17,2/5/2016,b'Get an inside look at what it\xe2\x80\x99s like being on the campaign trail with Mom: https://t.co/cC0eGNA3Us https://t.co/yVzd9M4JME',256,87,,,0.0,446320
